ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
43496,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/d648ba6433a33f3d.js,200,OK,50,349,4982
43497,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/cc4ae58c3255a647.js,200,OK,53,350,33327
43498,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2,200,OK,9,300,31288
43499,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/cc4ae58c3255a647.js,200,OK,9,350,33327
43500,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/d648ba6433a33f3d.js,200,OK,24,349,4982
43501,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/d5e289bff96cf0c1.js,200,OK,33,347,282
43502,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/e580ea4b913d1be8.js,200,OK,31,350,27414
43503,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/turbopack-8d555da1168ba933.js,200,OK,31,350,10249
43504,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/chunks/a6dad97d9634a72d.js,200,OK,70,352,112594
43505,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media,404,Not Found,29,265,9
43506,Fri Mar 27 14:26:25 EDT 2026,Fri Mar 27 14:26:25 EDT 2026,GET,http://127.0.0.1:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2,200,OK,46,300,31288
